id,events_no,start,start_time,team1_id,team2_id,name,team1_score,team2_score,betDone,gameDone
964,1,2021-08-25,19:00,10,12,전북 vs 포항,0,0,FALSE,FALSE
965,1,2021-08-25,19:30,4,8,서울 vs 울산,0,0,FALSE,FALSE
966,1,2021-08-25,19:30,9,3,인천 vs 대구,0,0,FALSE,FALSE
967,1,2021-08-25,20:00,6,7,수원 vs 수원FC,0,0,FALSE,FALSE
968,1,2021-08-27,19:30,1,2,강원 vs 광주,0,0,FALSE,FALSE
969,1,2021-08-28,18:00,12,6,포항 vs 수원,0,0,FALSE,FALSE
970,1,2021-08-28,19:00,10,7,전북 vs 수원FC,0,0,FALSE,FALSE
971,1,2021-08-28,19:00,3,5,대구 vs 성남,0,0,FALSE,FALSE
972,1,2021-08-29,18:00,8,9,울산 vs 인천,0,0,FALSE,FALSE
973,1,2021-08-29,19:00,11,4,제주 vs 서울,0,0,FALSE,FALSE
974,1,2021-09-10,19:30,8,10,울산 vs 전북,0,0,FALSE,FALSE
975,1,2021-09-11,16:30,9,11,인천 vs 제주,0,0,FALSE,FALSE
976,1,2021-09-11,19:00,6,2,수원 vs 광주,0,0,FALSE,FALSE
977,1,2021-09-12,14:00,12,3,포항 vs 대구,0,0,FALSE,FALSE
978,1,2021-09-12,16:30,5,4,성남 vs 서울,0,0,FALSE,FALSE
979,1,2021-09-12,19:00,7,1,수원FC vs 강원,0,0,FALSE,FALSE
980,1,2021-09-18,14:00,10,6,전북 vs 수원,0,0,FALSE,FALSE
981,1,2021-09-18,16:30,2,11,광주 vs 제주,0,0,FALSE,FALSE
982,1,2021-09-18,19:00,3,8,대구 vs 울산,0,0,FALSE,FALSE
983,1,2021-09-18,19:00,1,12,강원 vs 포항,0,0,FALSE,FALSE
984,1,2021-09-19,14:00,9,5,인천 vs 성남,0,0,FALSE,FALSE
985,1,2021-09-19,16:30,4,7,서울 vs 수원FC,0,0,FALSE,FALSE
986,1,2021-09-21,14:00,6,1,수원 vs 강원,0,0,FALSE,FALSE
987,1,2021-09-21,16:30,2,10,광주 vs 전북,0,0,FALSE,FALSE
988,1,2021-09-21,19:00,12,8,포항 vs 울산,0,0,FALSE,FALSE
989,1,2021-09-22,14:00,11,3,제주 vs 대구,0,0,FALSE,FALSE
990,1,2021-09-22,16:30,7,5,수원FC vs 성남,0,0,FALSE,FALSE
991,1,2021-09-22,19:00,4,9,서울 vs 인천,0,0,FALSE,FALSE
992,1,2021-09-25,14:00,12,11,포항 vs 제주,0,0,FALSE,FALSE
993,1,2021-09-25,16:30,8,2,울산 vs 광주,0,0,FALSE,FALSE
994,1,2021-09-25,19:00,10,9,전북 vs 인천,0,0,FALSE,FALSE
995,1,2021-09-25,19:00,3,7,대구 vs 수원FC,0,0,FALSE,FALSE
996,1,2021-09-26,14:00,6,4,수원 vs 서울,0,0,FALSE,FALSE
997,1,2021-09-26,16:30,5,1,성남 vs 강원,0,0,FALSE,FALSE
998,1,2021-10-03,15:00,2,12,광주 vs 포항,0,0,FALSE,FALSE
999,1,2021-10-03,15:00,1,10,강원 vs 전북,0,0,FALSE,FALSE
1000,1,2021-10-03,15:00,4,3,서울 vs 대구,0,0,FALSE,FALSE
1001,1,2021-10-03,15:00,9,6,인천 vs 수원,0,0,FALSE,FALSE
1002,1,2021-10-03,15:00,11,5,제주 vs 성남,0,0,FALSE,FALSE
1003,1,2021-10-03,15:00,7,8,수원FC vs 울산,0,0,FALSE,FALSE
